hab_cat,ns_hab,number_of_species_in_cat,mpsg_habitat_bin
estuarine,Aerial,2,
estuarine,Bay/sound,5,
estuarine,Forested wetland,1,
estuarine,Herbaceous wetland,12,
estuarine,Lagoon,7,
estuarine,River mouth/tidal river,5,
estuarine,Scrub-shrub wetland,1,
estuarine,Tidal flat/shore,11,
lacustrine,Aerial,6,
lacustrine,Deep water,3,
lacustrine,Shallow water,15,
marine,Aerial,1,
marine,Near shore,3,
marine,Pelagic,1,
palustrine,Aerial,6,
palustrine,Bog/fen,9,
palustrine,FORESTED WETLAND,9,
palustrine,HERBACEOUS WETLAND,23,
palustrine,Riparian,50,
palustrine,SCRUB-SHRUB WETLAND,5,
palustrine,TEMPORARY POOL,1,
riverine,Aerial,4,
riverine,BIG RIVER,8,
riverine,CREEK,6,
riverine,Low gradient,10,
riverine,MEDIUM RIVER,11,
riverine,Moderate gradient,5,
riverine,Pool,6,
riverine,SPRING/SPRING BROOK,2,
terrestrial,Aerial,6,
terrestrial,Alpine,6,
terrestrial,Bare rock/talus/scree,6,
terrestrial,Barrens,7,
terrestrial,Cliff,13,
terrestrial,Cropland/hedgerow,24,
terrestrial,Desert,24,
terrestrial,Forest - Conifer,18,
terrestrial,Forest - Hardwood,15,
terrestrial,Forest - Mixed,19,
terrestrial,Forest Edge,6,
terrestrial,Forest/Woodland,11,
terrestrial,Grassland/herbaceous,67,
terrestrial,Old field,16,
terrestrial,Sand/dune,7,
terrestrial,Savanna,25,
terrestrial,Shrubland/chaparral,36,
terrestrial,Suburban/orchard,13,
terrestrial,Tundra,5,
terrestrial,Urban/edificarian,8,
terrestrial,Woodland - Conifer,33,
terrestrial,Woodland - Hardwood,30,
terrestrial,Woodland - Mixed,34,
